Date, Open, High, Low, Close,Symbol
10/13/2015,1163.25,1169.71,1147.84,1147.84,RUT 2000
10/12/2015,1165.45,1166.51,1159.54,1164.4,RUT 2000
10/9/2015,1163.64,1168.76,1162.91,1165.36,RUT 2000
10/8/2015,1152.42,1164.58,1149.3,1163.24,RUT 2000
10/7/2015,1134.49,1152.61,1134.49,1152.6,RUT 2000
10/6/2015,1141.43,1143.63,1127.12,1133.69,RUT 2000
10/5/2015,1115.82,1142.17,1115.82,1141.64,RUT 2000
10/2/2015,1095.58,1114.12,1080.61,1114.12,RUT 2000
10/1/2015,1100.89,1103.7,1083.9,1097.55,RUT 2000
9/30/2015,1087.08,1101.93,1087.08,1100.69,RUT 2000
9/29/2015,1090.95,1098.02,1078.63,1083.91,RUT 2000
9/28/2015,1121.87,1121.87,1087.47,1090.57,RUT 2000
9/25/2015,1140.24,1146.72,1119.3,1122.79,RUT 2000
9/24/2015,1137.88,1138.96,1124.75,1137.54,RUT 2000
9/23/2015,1143.41,1149.22,1137.41,1140.05,RUT 2000
9/22/2015,1158.42,1158.42,1137.7,1143.03,RUT 2000
9/21/2015,1165.04,1177.96,1158.1,1161.09,RUT 2000
9/18/2015,1175.34,1175.34,1160.66,1163.37,RUT 2000
9/17/2015,1175.09,1193.99,1173.7,1180.69,RUT 2000
9/16/2015,1166.17,1175.89,1165.41,1175.2,RUT 2000
9/15/2015,1153.93,1167.28,1153.93,1165.99,RUT 2000
9/14/2015,1158.03,1159.17,1151.31,1153.5,RUT 2000
9/11/2015,1152.51,1157.91,1143.73,1157.79,RUT 2000
9/10/2015,1147.99,1158.26,1146.47,1153.03,RUT 2000
9/9/2015,1162.72,1170.2,1147.33,1148.22,RUT 2000
9/8/2015,1139.07,1162.45,1139.07,1161.76,RUT 2000
9/4/2015,1132.95,1142.55,1130.75,1136.17,RUT 2000
9/3/2015,1148.62,1157.63,1143.79,1145.15,RUT 2000
9/2/2015,1131.73,1146.03,1128.58,1146.03,RUT 2000
9/1/2015,1148.31,1151.53,1124.46,1128.05,RUT 2000
8/31/2015,1161.01,1164.89,1156.37,1159.45,RUT 2000
8/28/2015,1149.56,1163.05,1149.47,1162.91,RUT 2000
8/27/2015,1140.92,1157.9,1133.77,1153.61,RUT 2000
8/26/2015,1119.28,1132.63,1102.58,1132.19,RUT 2000
8/25/2015,1133.13,1133.15,1104.05,1104.1,RUT 2000
8/24/2015,1119.76,1148.58,1105.93,1111.69,RUT 2000
8/21/2015,1158.0,1172.76,1152.37,1156.79,RUT 2000
8/20/2015,1193.9,1193.93,1172.52,1172.52,RUT 2000
8/19/2015,1208.55,1211.68,1196.66,1202.98,RUT 2000
8/18/2015,1224.08,1224.12,1214.26,1214.88,RUT 2000
8/17/2015,1209.24,1225.09,1206.4,1225.09,RUT 2000
8/14/2015,1202.11,1212.79,1199.46,1212.69,RUT 2000
8/13/2015,1208.57,1213.41,1203.64,1204.74,RUT 2000
8/12/2015,1203.17,1210.98,1189.42,1208.98,RUT 2000
8/11/2015,1214.14,1218.67,1205.87,1211.14,RUT 2000
8/10/2015,1212.42,1223.39,1212.42,1222.67,RUT 2000
8/7/2015,1209.48,1211.93,1200.41,1206.9,RUT 2000
8/6/2015,1232.44,1232.77,1207.77,1215.85,RUT 2000
8/5/2015,1233.72,1243.16,1229.52,1231.75,RUT 2000
8/4/2015,1232.52,1237.2,1226.37,1228.85,RUT 2000
8/3/2015,1238.32,1238.97,1224.87,1231.79,RUT 2000
7/31/2015,1235.17,1244.98,1232.95,1238.68,RUT 2000
7/30/2015,1226.04,1233.0,1220.98,1232.07,RUT 2000
7/29/2015,1223.98,1232.34,1220.93,1229.6,RUT 2000
7/28/2015,1219.47,1226.41,1205.19,1224.6,RUT 2000
7/27/2015,1219.21,1220.73,1212.33,1214.61,RUT 2000
7/24/2015,1242.39,1243.58,1225.43,1225.99,RUT 2000
7/23/2015,1260.66,1262.57,1243.69,1244.97,RUT 2000
7/22/2015,1249.37,1259.76,1248.63,1258.35,RUT 2000
7/21/2015,1259.75,1265.44,1252.09,1254.57,RUT 2000
7/20/2015,1268.82,1268.89,1258.3,1260.22,RUT 2000
7/17/2015,1273.67,1273.67,1263.87,1267.09,RUT 2000
7/16/2015,1271.1,1275.9,1269.66,1272.83,RUT 2000
7/15/2015,1273.8,1273.8,1263.01,1264.52,RUT 2000
7/14/2015,1265.3,1274.11,1264.87,1273.33,RUT 2000
7/13/2015,1258.79,1266.1,1258.79,1265.35,RUT 2000
7/10/2015,1245.0,1252.87,1244.22,1252.02,RUT 2000
7/9/2015,1240.16,1243.96,1232.81,1234.15,RUT 2000
7/8/2015,1239.08,1241.35,1226.52,1228.96,RUT 2000
7/7/2015,1247.78,1248.96,1225.98,1248.05,RUT 2000
7/6/2015,1239.23,1253.2,1236.59,1246.96,RUT 2000
7/2/2015,1259.03,1259.25,1244.63,1248.26,RUT 2000
7/1/2015,1262.12,1264.63,1250.65,1256.4,RUT 2000
6/30/2015,1255.51,1256.87,1248.81,1253.95,RUT 2000
6/29/2015,1269.36,1273.95,1246.6,1246.75,RUT 2000
6/26/2015,1285.23,1287.1,1274.03,1279.79,RUT 2000
6/25/2015,1286.97,1287.46,1278.57,1283.28,RUT 2000
6/24/2015,1293.81,1295.03,1283.2,1283.92,RUT 2000
6/23/2015,1294.37,1296.0,1289.59,1295.8,RUT 2000
6/22/2015,1290.56,1293.31,1288.49,1292.39,RUT 2000
6/19/2015,1285.47,1286.58,1281.66,1284.66,RUT 2000
6/18/2015,1271.95,1287.06,1271.95,1284.68,RUT 2000
6/17/2015,1273.36,1274.4,1266.63,1268.33,RUT 2000
6/16/2015,1259.02,1271.46,1258.93,1269.53,RUT 2000
6/15/2015,1259.38,1262.86,1247.52,1261.04,RUT 2000
6/12/2015,1265.56,1266.78,1262.22,1265.02,RUT 2000
6/11/2015,1268.67,1270.79,1266.06,1268.92,RUT 2000
6/10/2015,1254.47,1269.77,1254.47,1266.93,RUT 2000
6/9/2015,1253.5,1254.44,1242.36,1249.66,RUT 2000
6/8/2015,1259.67,1261.18,1252.73,1253.7,RUT 2000
6/5/2015,1250.4,1261.07,1242.74,1261.01,RUT 2000
6/4/2015,1258.54,1261.21,1248.43,1251.29,RUT 2000
6/3/2015,1254.98,1264.94,1252.79,1264.58,RUT 2000
6/2/2015,1245.59,1258.46,1243.3,1251.8,RUT 2000
6/1/2015,1252.02,1254.56,1238.65,1249.62,RUT 2000
5/29/2015,1251.58,1252.64,1241.15,1246.53,RUT 2000
5/28/2015,1251.78,1253.2,1246.07,1253.1,RUT 2000
5/27/2015,1241.01,1255.05,1237.61,1254.36,RUT 2000
5/26/2015,1248.11,1248.11,1233.72,1238.76,RUT 2000
5/22/2015,1255.49,1258.73,1248.37,1252.22,RUT 2000
5/21/2015,1257.49,1261.02,1252.99,1256.74,RUT 2000
5/20/2015,1257.33,1260.83,1252.36,1257.74,RUT 2000
5/19/2015,1257.86,1258.58,1251.82,1255.66,RUT 2000
5/18/2015,1242.08,1258.0,1240.84,1257.52,RUT 2000
5/15/2015,1245.42,1245.9,1238.99,1243.95,RUT 2000
5/14/2015,1236.81,1245.12,1232.53,1245.11,RUT 2000
5/13/2015,1235.74,1237.88,1228.48,1232.28,RUT 2000
5/12/2015,1230.58,1236.14,1218.37,1233.13,RUT 2000
5/11/2015,1234.59,1243.56,1234.51,1235.83,RUT 2000
5/8/2015,1234.82,1239.38,1232.59,1234.93,RUT 2000
5/7/2015,1218.95,1228.82,1215.42,1225.54,RUT 2000
5/6/2015,1221.53,1222.9,1211.13,1219.36,RUT 2000
5/5/2015,1231.77,1234.04,1211.78,1215.42,RUT 2000
5/4/2015,1230.3,1240.63,1230.1,1233.22,RUT 2000
5/1/2015,1223.06,1229.47,1218.59,1228.11,RUT 2000
4/30/2015,1241.4,1242.77,1216.1,1220.13,RUT 2000
4/29/2015,1254.5,1255.81,1245.47,1246.95,RUT 2000
4/28/2015,1252.89,1260.69,1242.57,1259.36,RUT 2000
4/27/2015,1269.87,1275.84,1250.45,1252.7,RUT 2000
4/24/2015,1272.8,1273.08,1266.22,1267.54,RUT 2000
4/23/2015,1263.66,1273.25,1262.41,1271.54,RUT 2000
4/22/2015,1265.01,1266.57,1255.04,1265.48,RUT 2000
4/21/2015,1269.32,1270.08,1263.59,1264.15,RUT 2000
4/20/2015,1257.61,1266.98,1255.75,1264.92,RUT 2000
4/17/2015,1264.22,1264.22,1248.23,1251.86,RUT 2000
4/16/2015,1273.48,1275.28,1271.11,1272.9,RUT 2000
4/15/2015,1269.65,1278.63,1268.82,1275.35,RUT 2000
4/14/2015,1266.68,1267.96,1258.53,1265.35,RUT 2000
4/13/2015,1265.49,1271.74,1265.05,1265.59,RUT 2000
4/10/2015,1263.73,1266.0,1262.32,1264.78,RUT 2000
4/9/2015,1262.54,1265.78,1248.17,1259.11,RUT 2000
4/8/2015,1254.39,1264.13,1254.36,1262.71,RUT 2000
4/7/2015,1260.3,1263.23,1253.29,1253.36,RUT 2000
4/6/2015,1250.24,1262.76,1249.35,1260.54,RUT 2000
4/2/2015,1252.18,1259.97,1251.83,1255.66,RUT 2000
4/1/2015,1250.99,1251.89,1239.6,1251.71,RUT 2000
3/31/2015,1252.64,1255.3,1248.91,1252.77,RUT 2000
3/30/2015,1246.69,1258.24,1246.69,1257.8,RUT 2000
3/27/2015,1231.67,1240.76,1229.38,1240.41,RUT 2000
3/26/2015,1228.8,1237.37,1225.47,1231.99,RUT 2000
3/25/2015,1265.58,1265.85,1233.55,1233.86,RUT 2000
3/24/2015,1264.06,1268.08,1262.4,1263.46,RUT 2000
3/23/2015,1264.17,1268.16,1262.95,1264.71,RUT 2000
3/20/2015,1259.71,1267.22,1259.71,1266.37,RUT 2000
3/19/2015,1249.26,1254.89,1248.48,1254.86,RUT 2000
3/18/2015,1239.84,1255.68,1235.49,1252.14,RUT 2000
3/17/2015,1235.9,1243.33,1234.66,1242.23,RUT 2000
3/16/2015,1237.08,1241.11,1235.7,1239.78,RUT 2000
3/13/2015,1235.59,1236.78,1220.01,1232.14,RUT 2000
3/12/2015,1221.46,1236.68,1221.26,1236.64,RUT 2000
3/11/2015,1209.99,1216.5,1206.11,1215.78,RUT 2000
3/10/2015,1213.93,1213.94,1206.32,1208.47,RUT 2000
3/9/2015,1220.48,1225.83,1218.76,1223.59,RUT 2000
3/6/2015,1227.88,1231.09,1216.22,1217.52,RUT 2000
3/5/2015,1232.89,1236.05,1228.85,1234.31,RUT 2000
3/4/2015,1232.15,1232.62,1224.63,1230.73,RUT 2000
3/3/2015,1238.79,1238.94,1230.74,1234.76,RUT 2000
3/2/2015,1233.39,1243.33,1232.67,1242.62,RUT 2000
2/27/2015,1238.14,1239.67,1233.26,1233.37,RUT 2000
2/26/2015,1234.67,1239.22,1231.7,1239.11,RUT 2000
2/25/2015,1233.23,1236.88,1230.95,1235.1,RUT 2000
2/24/2015,1232.23,1236.2,1230.07,1233.98,RUT 2000
2/23/2015,1230.22,1231.84,1222.64,1231.83,RUT 2000
2/20/2015,1228.12,1231.92,1218.29,1231.79,RUT 2000
2/19/2015,1225.09,1230.5,1222.85,1227.91,RUT 2000
2/18/2015,1222.56,1227.98,1219.84,1227.95,RUT 2000
2/17/2015,1223.1,1227.18,1221.04,1225.01,RUT 2000
2/13/2015,1218.05,1223.74,1214.93,1223.13,RUT 2000
2/12/2015,1207.6,1216.27,1206.75,1216.27,RUT 2000
2/11/2015,1201.25,1204.44,1195.28,1201.56,RUT 2000
2/10/2015,1202.61,1205.12,1190.28,1203.18,RUT 2000
2/9/2015,1202.26,1208.28,1195.38,1195.83,RUT 2000
2/6/2015,1209.74,1214.71,1202.16,1205.46,RUT 2000
2/5/2015,1195.5,1209.9,1195.41,1208.71,RUT 2000
2/4/2015,1191.56,1198.95,1189.34,1191.44,RUT 2000
2/3/2015,1180.08,1197.39,1180.06,1196.99,RUT 2000
2/2/2015,1168.58,1175.56,1153.79,1175.52,RUT 2000
1/30/2015,1183.34,1186.04,1164.9,1165.39,RUT 2000
1/29/2015,1177.15,1190.18,1170.13,1190.18,RUT 2000
1/28/2015,1200.68,1201.24,1172.73,1175.12,RUT 2000
1/27/2015,1190.34,1199.77,1186.16,1194.66,RUT 2000
1/26/2015,1188.69,1200.74,1181.77,1200.74,RUT 2000
1/23/2015,1190.26,1194.15,1185.5,1188.93,RUT 2000
1/22/2015,1172.5,1190.37,1161.3,1190.37,RUT 2000
1/21/2015,1167.52,1174.95,1162.31,1166.25,RUT 2000
1/20/2015,1179.08,1179.14,1161.33,1170.25,RUT 2000
1/16/2015,1151.34,1177.19,1151.3,1176.65,RUT 2000
1/15/2015,1179.72,1180.87,1154.64,1154.71,RUT 2000
1/14/2015,1169.75,1177.98,1165.06,1177.06,RUT 2000
1/13/2015,1187.52,1200.52,1168.41,1180.64,RUT 2000
1/12/2015,1186.94,1187.63,1173.22,1180.09,RUT 2000
1/9/2015,1196.01,1196.06,1183.09,1185.68,RUT 2000
1/8/2015,1184.17,1196.13,1184.08,1196.12,RUT 2000
1/7/2015,1169.3,1175.98,1164.95,1175.97,RUT 2000
1/6/2015,1183.47,1183.91,1153.4,1161.31,RUT 2000
1/5/2015,1192.36,1194.22,1177.46,1181.35,RUT 2000
1/2/2015,1209.98,1212.8,1189.16,1198.8,RUT 2000
12/31/2014,1215.57,1221.44,1204.69,1204.7,RUT 2000
12/30/2014,1215.93,1219.45,1212.34,1213.06,RUT 2000
12/29/2014,1214.44,1220.81,1214.44,1219.11,RUT 2000
12/26/2014,1210.88,1217.01,1210.88,1215.21,RUT 2000
12/24/2014,1203.79,1208.78,1202.55,1206.79,RUT 2000
12/23/2014,1205.77,1207.17,1200.38,1202.44,RUT 2000
12/22/2014,1196.01,1201.88,1193.57,1201.86,RUT 2000
12/19/2014,1191.48,1198.97,1187.94,1195.94,RUT 2000
12/18/2014,1185.94,1192.16,1180.61,1192.16,RUT 2000
12/17/2014,1141.87,1174.84,1141.34,1174.83,RUT 2000
12/16/2014,1136.87,1156.94,1134.51,1139.38,RUT 2000
12/15/2014,1157.72,1160.53,1138.13,1140.3,RUT 2000
12/12/2014,1156.69,1163.61,1152.44,1152.45,RUT 2000
12/11/2014,1166.68,1180.99,1165.13,1166.96,RUT 2000
12/10/2014,1183.9,1185.03,1161.86,1161.87,RUT 2000
12/9/2014,1157.38,1188.08,1153.53,1188.06,RUT 2000
12/8/2014,1179.96,1188.23,1165.96,1167.21,RUT 2000
12/5/2014,1172.75,1184.49,1172.75,1182.43,RUT 2000
12/4/2014,1177.78,1178.01,1169.23,1173.01,RUT 2000
12/3/2014,1168.55,1181.89,1168.03,1179.01,RUT 2000
12/2/2014,1156.27,1171.44,1156.26,1168.45,RUT 2000
12/1/2014,1170.55,1170.55,1154.05,1154.05,RUT 2000
11/28/2014,1190.58,1190.61,1172.44,1173.23,RUT 2000
11/26/2014,1186.33,1190.7,1185.37,1190.62,RUT 2000
11/25/2014,1188.93,1191.77,1182.66,1186.33,RUT 2000
11/24/2014,1174.83,1186.96,1174.83,1186.94,RUT 2000
11/21/2014,1182.31,1184.5,1169.65,1172.42,RUT 2000
11/20/2014,1153.53,1170.86,1153.21,1170.75,RUT 2000
11/19/2014,1169.04,1169.08,1151.98,1157.69,RUT 2000
11/18/2014,1165.15,1176.21,1165.16,1170.28,RUT 2000
11/17/2014,1171.86,1175.18,1164.18,1164.23,RUT 2000
11/14/2014,1175.46,1177.3,1171.97,1173.81,RUT 2000
11/13/2014,1186.76,1188.67,1173.97,1175.41,RUT 2000
11/12/2014,1175.33,1187.2,1174.85,1186.47,RUT 2000
11/11/2014,1179.01,1180.8,1176.77,1179.96,RUT 2000
11/10/2014,1173.85,1179.58,1172.61,1179.57,RUT 2000
11/7/2014,1170.07,1173.4,1165.04,1173.32,RUT 2000
11/6/2014,1166.02,1171.9,1163.54,1171.86,RUT 2000
11/5/2014,1171.23,1172.03,1163.68,1167.07,RUT 2000
11/4/2014,1166.73,1170.87,1160.89,1165.42,RUT 2000
11/3/2014,1174.5,1178.4,1166.79,1170.2,RUT 2000
10/31/2014,1169.17,1174.33,1166.66,1173.51,RUT 2000
10/30/2014,1142.45,1159.15,1140.51,1155.77,RUT 2000
10/29/2014,1149.46,1153.41,1138.32,1146.37,RUT 2000
10/28/2014,1121.8,1149.45,1121.34,1149.45,RUT 2000
10/27/2014,1113.56,1117.71,1104.05,1117.48,RUT 2000
10/24/2014,1117.95,1119.13,1113.05,1118.82,RUT 2000
10/23/2014,1105.45,1122.42,1105.45,1116.49,RUT 2000
10/22/2014,1114.96,1117.18,1096.24,1096.87,RUT 2000
10/21/2014,1099.88,1112.87,1099.88,1112.85,RUT 2000
10/20/2014,1078.68,1094.97,1078.5,1094.97,RUT 2000
10/17/2014,1085.85,1099.44,1079.23,1082.33,RUT 2000
10/16/2014,1060.69,1091.27,1058.82,1086.11,RUT 2000
10/15/2014,1051.5,1075.64,1040.47,1072.45,RUT 2000
10/14/2014,1056.8,1075.27,1056.29,1061.6,RUT 2000
10/13/2014,1054.27,1066.98,1046.14,1049.3,RUT 2000
10/10/2014,1063.25,1074.25,1053.32,1053.32,RUT 2000
10/9/2014,1095.75,1095.94,1067.83,1067.99,RUT 2000
10/8/2014,1075.21,1097.7,1065.75,1097.12,RUT 2000
10/7/2014,1089.3,1090.96,1076.31,1076.31,RUT 2000
10/6/2014,1107.36,1108.0,1093.77,1094.65,RUT 2000
10/3/2014,1105.12,1109.87,1101.51,1104.74,RUT 2000
10/2/2014,1085.14,1099.46,1077.96,1096.38,RUT 2000
