unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1581292800,2/10/2020,ETC/USD,11.73,12.05,11.37,11.85,3830991.75,325347.7,212
1581206400,2/9/2020,ETC/USD,11.73,12.18,11.32,11.73,4174919.33,354344.14,213
1581120000,2/8/2020,ETC/USD,11.72,11.93,11.14,11.73,3540192.91,304411.99,214
1581033600,2/7/2020,ETC/USD,12.1,12.31,11.36,11.72,6174407.58,521758.6,215
1580947200,2/6/2020,ETC/USD,12.32,13.17,11.12,12.1,10005421.18,823798.18,216
1580860800,2/5/2020,ETC/USD,11.36,12.65,11.29,12.32,6025837.97,498547.7,217
1580774400,2/4/2020,ETC/USD,11.78,11.9,11.11,11.36,2671362.31,233750.16,218
1580688000,2/3/2020,ETC/USD,11.35,12.22,11.28,11.78,4871560.92,411240.37,219
1580601600,2/2/2020,ETC/USD,11.54,11.71,11.12,11.35,3263885.77,284482.03,220
1580515200,2/1/2020,ETC/USD,11.31,11.8,11.05,11.54,4313055.26,374444.25,221
1580428800,1/31/2020,ETC/USD,12.28,12.3,10.62,11.31,8115854.67,713994.43,222
1580342400,1/30/2020,ETC/USD,12.2,12.65,11.65,12.28,9432454.18,779469.34,223
1580256000,1/29/2020,ETC/USD,11.42,12.9,11.32,12.2,15276148.03,1253703.11,224
1580169600,1/28/2020,ETC/USD,10.42,11.77,10.34,11.42,11215604.01,1014451.63,225
1580083200,1/27/2020,ETC/USD,9.141,11.1,9.141,10.42,10652617.73,1041722.39,226
1579996800,1/26/2020,ETC/USD,8.39,9.36,8.221,9.141,2429798.93,271506.23,227
1579910400,1/25/2020,ETC/USD,8.587,8.62,8.107999999999999,8.39,1681891.55,200968.92,228
1579824000,1/24/2020,ETC/USD,8.447000000000001,8.831,7.85,8.587,3362429.42,404163.25,229
1579737600,1/23/2020,ETC/USD,9.34,9.35,8.161,8.447000000000001,3904278.54,451438.52,230
1579651200,1/22/2020,ETC/USD,8.932,9.491,8.911,9.34,2832790.41,306205.11,231
1579564800,1/21/2020,ETC/USD,8.62,9.127,8.511000000000001,8.932,2302839.38,259853.67,232
1579478400,1/20/2020,ETC/USD,8.521,9.097000000000001,8.05,8.62,6185194.05,713362.99,233
1579392000,1/19/2020,ETC/USD,8.295,9.477,7.749,8.521,12895253.15,1497916.19,234
1579305600,1/18/2020,ETC/USD,9.437999999999999,9.899,8.054,8.295,18231185.3,2030920.42,235
1579219200,1/17/2020,ETC/USD,8.39,12.07,8.144,9.437999999999999,41516304.24,4050308.47,236
1579132800,1/16/2020,ETC/USD,7.996,8.663,7.257999999999999,8.39,11787046.11,1474008.18,237
1579046400,1/15/2020,ETC/USD,6.822,8.109,6.631,7.996,16014175.12,2157422.23,238
